Shri Venkatesh Refineries Ltd.,"Sep 29, 2021",Rs 11.12 Cr,2.84x,Rs 40,"Oct 11, 2021",Rs 42.10 (5.25%),Rs 296.50 (641.25%),"Rs 333.80 (Sep 22, 2025)","Rs 181.00 (Jun 19, 2025)",2021
Jainam Ferro Alloys (I) Ltd.,"Sep 28, 2021",Rs 18.56 Cr,4.97x,Rs 70,"Oct 08, 2021",Rs 73.10 (4.43%),Rs 249.85 (256.93%),"Rs 322.85 (Aug 08, 2025)","Rs 191.90 (Feb 18, 2025)",2021
Prevest Denpro Ltd.,"Sep 15, 2021",Rs 25.27 Cr,28.15x,Rs 84,"Sep 27, 2021",Rs 189.55 (125.65%),Rs 489.90 (483.21%),"Rs 686.00 (Jan 13, 2025)","Rs 393.60 (Mar 17, 2025)",2021
DU Digital Technologies Ltd.,"Aug 12, 2021",Rs 4.24 Cr,11.90x,Rs 65,"Aug 26, 2021",Rs 63.00 (-3.08%),,,,2021
EKI Energy Services Ltd.,"Mar 24, 2021",Rs 17.63 Cr,3.02x,Rs 102,"Apr 07, 2021",Rs 147.00 (44.12%),Rs 95.00 (-6.86%),"Rs 309.00 (Dec 20, 2024)","Rs 82.45 (Mar 20, 2025)",2021
Knowledge Marine & Engineering Works Ltd.,"Mar 09, 2021",Rs 9.59 Cr,2.71x,Rs 37,"Mar 22, 2021",Rs 38.25 (3.38%),"Rs 3,465.05 (9265%)","Rs 3,758.50 (Dec 16, 2025)","Rs 1,264.05 (Apr 07, 2025)",2021
Baheti Recycling Industries Ltd.,"Nov 28, 2022",Rs 11.76 Cr,340.92x,Rs 45,"Dec 08, 2022",Rs 114.00 (153.33%),Rs 629.35 (1298.56%),"Rs 649.90 (May 05, 2025)","Rs 328.10 (Jan 27, 2025)",2022
Vedant Asset Ltd.,"Sep 30, 2022",Rs 2.83 Cr,49.16x,Rs 40,"Oct 12, 2022",Rs 68.25 (70.62%),Rs 43.70 (9.25%),"Rs 97.10 (Dec 23, 2024)","Rs 37.60 (Sep 03, 2025)",2022
Lloyds Luxuries Ltd.,"Sep 28, 2022",Rs 22.80 Cr,6.51x,Rs 40,"Oct 11, 2022",Rs 42.90 (7.25%),Rs 63.70 (59.25%),"Rs 125.75 (May 22, 2025)","Rs 61.30 (Dec 19, 2025)",2022
Concord Control Systems Ltd.,"Sep 27, 2022",Rs 7.89 Cr,200.74x,Rs 55,"Oct 10, 2022",Rs 115.40 (109.82%),"Rs 2,234.95 (3963.55%)","Rs 2,698.00 (Dec 03, 2025)","Rs 606.97 (Feb 19, 2025)",2022
Silicon Rental Solutions Ltd.,"Sep 28, 2022",Rs 20.09 Cr,2.82x,Rs 78,"Oct 10, 2022",Rs 84.00 (7.69%),Rs 120.00 (53.85%),"Rs 283.35 (Jan 06, 2025)","Rs 118.00 (Dec 18, 2025)",2022
Cargosol Logistics Ltd.,"Sep 28, 2022",Rs 7.17 Cr,54.44x,Rs 28,"Oct 10, 2022",Rs 44.50 (58.93%),Rs 27.75 (-0.89%),"Rs 28.80 (Aug 25, 2025)","Rs 12.90 (Mar 28, 2025)",2022
Cargotrans Maritime Ltd.,"Sep 27, 2022",Rs 4.59 Cr,146.48x,Rs 45,"Oct 10, 2022",Rs 73.50 (63.33%),Rs 164.50 (265.56%),"Rs 179.80 (Oct 29, 2025)","Rs 60.20 (Mar 28, 2025)",2022
Kesar India Ltd.,"Jun 30, 2022",Rs 15.01 Cr,1.52x,Rs 170,"Jul 12, 2022",Rs 175.50 (3.24%),"Rs 1,018.45 (499.09%)","Rs 1,050.00 (Dec 16, 2025)","Rs 476.00 (Mar 11, 2025)",2022
Eighty Jewellers Ltd.,"Mar 31, 2022",Rs 10.50 Cr,2.10x,Rs 41,"Apr 13, 2022",Rs 44.10 (7.56%),Rs 32.70 (-20.24%),"Rs 52.00 (Jan 21, 2025)","Rs 24.10 (Mar 27, 2025)",2022
Krishna Defence & Allied Industries Ltd.,"Mar 25, 2022",Rs 11.28 Cr,61.59x,Rs 39,"Apr 06, 2022",Rs 78.75 (101.92%),Rs 673.20 (1626.15%),"Rs 1,027.50 (Jun 06, 2025)","Rs 503.00 (Mar 04, 2025)",2022
KN Agri Resources Ltd.,"Mar 15, 2022",Rs 46.88 Cr,145.55x,Rs 75,"Mar 28, 2022",Rs 146.00 (94.67%),Rs 192.70 (156.93%),"Rs 302.00 (Dec 18, 2024)","Rs 172.60 (Apr 22, 2025)",2022
Shri Balaji Valve Components Ltd.,"Dec 27, 2023",Rs 20.46 Cr,192.49x,Rs 100,"Jan 03, 2024",Rs 199.50 (99.5%),Rs 103.75 (3.75%),"Rs 167.70 (Dec 20, 2024)","Rs 91.92 (Apr 07, 2025)",2023
Shanti Spintex Ltd.,"Dec 19, 2023",Rs 29.68 Cr,19.21x,Rs 70,"Dec 27, 2023",Rs 79.80 (14%),Rs 60.00 (-14.29%),"Rs 86.99 (Jan 08, 2025)","Rs 50.51 (Mar 04, 2025)",2023
Siyaram Recycling Industries Ltd.,"Dec 14, 2023",Rs 21.80 Cr,268.05x,Rs 46,"Dec 21, 2023",Rs 57.75 (25.54%),Rs 55.87 (21.46%),"Rs 171.70 (Jan 17, 2025)","Rs 51.30 (Dec 08, 2025)",2023
S J Logistics (India) Ltd.,"Dec 12, 2023",Rs 45.59 Cr,219.84x,Rs 125,"Dec 19, 2023",Rs 183.75 (47%),Rs 350.70 (180.56%),"Rs 715.00 (Dec 23, 2024)","Rs 301.05 (Nov 04, 2025)",2023
Deepak Chemtex Ltd.,"Nov 29, 2023",Rs 21.86 Cr,279.70x,Rs 80,"Dec 06, 2023",Rs 159.60 (99.5%),Rs 109.25 (36.56%),"Rs 170.00 (Jul 30, 2025)","Rs 93.50 (Feb 19, 2025)",2023
Paragon Fine & Speciality Chemical Ltd.,"Oct 26, 2023",Rs 49.04 Cr,143.32x,Rs 100,"Nov 03, 2023",Rs 213.75 (113.75%),Rs 41.00 (-59%),"Rs 107.00 (Dec 18, 2024)","Rs 41.00 (Dec 18, 2025)",2023
Arabian Petroleum Ltd.,"Sep 25, 2023",Rs 19.21 Cr,19.15x,Rs 70,"Oct 09, 2023",Rs 76.25 (8.93%),Rs 73.00 (4.29%),"Rs 92.95 (Jun 27, 2025)","Rs 63.00 (Mar 28, 2025)",2023
E Factor Experiences Ltd.,"Sep 27, 2023",Rs 24.61 Cr,51.27x,Rs 75,"Oct 09, 2023",Rs 120.75 (61%),Rs 310.10 (313.47%),"Rs 348.00 (Dec 05, 2025)","Rs 127.50 (Mar 18, 2025)",2023
Saakshi Medtech & Panels Ltd.,"Sep 25, 2023",Rs 42.88 Cr,64.10x,Rs 97,"Oct 03, 2023",Rs 153.30 (58.04%),Rs 171.05 (76.34%),"Rs 240.00 (Dec 18, 2024)","Rs 118.00 (May 29, 2025)",2023
Madhusudan Masala Ltd.,"Sep 18, 2023",Rs 22.60 Cr,306.47x,Rs 70,"Sep 26, 2023",Rs 114.00 (62.86%),Rs 131.60 (88%),"Rs 229.00 (Dec 27, 2024)","Rs 108.60 (Nov 17, 2025)",2023
